timestamp,commit,ref,rule,count
2026-07-01T07:00:00.079Z,local,local,unused-imports/no-unused-vars,242
2026-07-01T07:00:00.079Z,local,local,@typescript-eslint/no-explicit-any,281
2026-07-01T07:00:00.079Z,local,local,@typescript-eslint/no-unsafe-assignment,338
2026-07-01T07:00:00.079Z,local,local,@typescript-eslint/no-unsafe-call,40
2026-07-01T07:00:00.079Z,local,local,@typescript-eslint/no-unsafe-member-access,432
2026-07-01T07:00:00.079Z,local,local,@typescript-eslint/no-floating-promises,117
2026-07-01T07:00:00.079Z,local,local,@typescript-eslint/ban-ts-comment,13
2026-07-01T07:00:00.079Z,local,local,react-refresh/only-export-components,29
2026-07-01T07:00:00.079Z,local,local,@typescript-eslint/no-unsafe-return,111
2026-07-01T07:00:00.079Z,local,local,@typescript-eslint/restrict-template-expressions,17
2026-07-01T07:00:00.079Z,local,local,@typescript-eslint/no-non-null-assertion,25
2026-07-01T07:00:00.079Z,local,local,@typescript-eslint/no-unsafe-argument,119
2026-07-01T07:00:00.079Z,local,local,@typescript-eslint/require-await,71
2026-07-01T07:00:00.079Z,local,local,react-hooks/rules-of-hooks,2
2026-07-01T07:00:00.079Z,local,local,@typescript-eslint/await-thenable,2
2026-07-01T07:00:00.079Z,local,local,react-hooks/exhaustive-deps,27
2026-07-01T07:00:00.079Z,local,local,no-shadow-restricted-names,2
2026-07-01T07:00:00.079Z,local,local,@typescript-eslint/no-empty-object-type,2
2026-07-01T07:00:00.079Z,local,local,@typescript-eslint/no-redundant-type-constituents,2
2026-07-01T07:00:00.079Z,local,local,@typescript-eslint/no-unsafe-enum-comparison,4
2026-07-01T07:00:00.079Z,local,local,@typescript-eslint/no-base-to-string,3
2026-07-01T07:00:00.079Z,local,local,__TOTAL__,1879
